Users,HealthStatus,JobType,ActivityType
1,HEALTHY,Others,Working
2,COVID19,Others,Working
3,HEALTHY,Cleaning_Staff,Working
4,HEALTHY,Others,Working
5,HEALTHY,Others,Working
6,HEALTHY,Others,Working
7,COVID19,Others,Working
8,HEALTHY,Others,Working
9,HEALTHY,Others,Working
10,HEALTHY,Cleaning_Staff,Working
11,HEALTHY,Others,Working
12,COVID19,Others,Working
13,HEALTHY,Others,Working
14,COVID19,Others,Working
15,HEALTHY,Others,Working
16,HEALTHY,Others,Working
17,HEALTHY,Others,Working
18,HEALTHY,Others,Working
19,HEALTHY,Others,Working
20,HEALTHY,Others,Working
21,COVID19,Others,Working
22,HEALTHY,Others,Working
23,HEALTHY,Cleaning_Staff,Working
24,HEALTHY,Others,Working
25,HEALTHY,Others,Working
26,HEALTHY,Others,Working
27,HEALTHY,Others,Working
28,HEALTHY,Others,Working
29,HEALTHY,Others,Working
30,HEALTHY,Others,Working
31,COVID19,Others,Working
32,HEALTHY,Others,Working
33,HEALTHY,Others,Working
34,HEALTHY,Others,Working
35,HEALTHY,Others,Working
36,HEALTHY,Cleaning_Staff,Working
37,HEALTHY,Others,Working
38,HEALTHY,Others,Working
39,HEALTHY,Others,Working
40,COVID19,Others,Working
41,HEALTHY,Others,Working
42,HEALTHY,Others,Working
43,HEALTHY,Others,Working
44,HEALTHY,Others,Working
45,HEALTHY,Cleaning_Staff,Working
46,HEALTHY,Others,Working
47,HEALTHY,Others,Working
48,HEALTHY,Others,Working
49,COVID19,Others,Working
50,HEALTHY,Cleaning_Staff,Working
51,HEALTHY,Others,Working
52,HEALTHY,Others,Working
53,HEALTHY,Others,Working
54,HEALTHY,Others,Working
55,HEALTHY,Others,Working
56,COVID19,Others,Working
57,HEALTHY,Others,Working
58,HEALTHY,Others,Working
59,HEALTHY,Others,Working
60,HEALTHY,Others,Working
61,HEALTHY,Others,Working
62,HEALTHY,Others,Working
63,HEALTHY,Others,Working
64,HEALTHY,Others,Working
65,HEALTHY,Others,Working
66,HEALTHY,Others,Working
67,HEALTHY,Others,Working
68,HEALTHY,Cleaning_Staff,Working
69,HEALTHY,Others,Working
70,COVID19,Others,Working
71,COVID19,Others,Working
72,HEALTHY,Others,Working
73,HEALTHY,Others,Working
74,HEALTHY,Others,Working
75,HEALTHY,Others,Working
76,COVID19,Others,Working
77,HEALTHY,Others,Working
78,HEALTHY,Others,Working
79,COVID19,Others,Working
80,COVID19,Others,Working
81,COVID19,Others,Working
82,HEALTHY,Others,Working
83,COVID19,Others,Working
84,HEALTHY,Others,Working
85,HEALTHY,Others,Working
86,HEALTHY,Others,Working
87,HEALTHY,Others,Working
88,COVID19,Others,Working
89,HEALTHY,Others,Working
90,HEALTHY,Others,Working
91,COVID19,Others,Working
92,COVID19,Others,Working
93,HEALTHY,Others,Working
94,HEALTHY,Others,Working
95,HEALTHY,Others,Working
96,HEALTHY,Others,Working
97,HEALTHY,Others,Working
98,HEALTHY,Others,Working
99,HEALTHY,Others,Working
100,COVID19,Others,Working
101,HEALTHY,Others,Working
102,HEALTHY,Others,Working
103,HEALTHY,Others,Working
104,HEALTHY,Others,Working
105,HEALTHY,Others,Working
106,HEALTHY,Others,Working
107,HEALTHY,Others,Working
108,COVID19,Others,Working
109,HEALTHY,Others,Working
110,HEALTHY,Others,Working
111,HEALTHY,Others,Working
112,HEALTHY,Others,Working
113,COVID19,Others,Working
114,COVID19,Others,Working
115,COVID19,Others,Working
116,HEALTHY,Others,Working
117,HEALTHY,Cleaning_Staff,Working
118,HEALTHY,Others,Working
119,HEALTHY,Others,Working
120,HEALTHY,Others,Working
121,HEALTHY,Others,Working
122,HEALTHY,Others,Working
123,HEALTHY,Others,Working
124,HEALTHY,Others,Working
125,HEALTHY,Cleaning_Staff,Working
126,HEALTHY,Others,Working
127,COVID19,Others,Working
128,HEALTHY,Others,Working
129,HEALTHY,Others,Working
130,HEALTHY,Others,Working
131,HEALTHY,Others,Working
132,COVID19,Others,Working
133,HEALTHY,Others,Working
134,COVID19,Others,Working
135,HEALTHY,Others,Working
136,HEALTHY,Others,Working
137,COVID19,Others,Working
138,COVID19,Others,Working
139,HEALTHY,Others,Working
140,HEALTHY,Cleaning_Staff,Working
141,HEALTHY,Others,Working
142,HEALTHY,Cleaning_Staff,Working
143,HEALTHY,Cleaning_Staff,Working
144,HEALTHY,Others,Working
145,HEALTHY,Others,Working
146,COVID19,Others,Working
147,HEALTHY,Others,Working
148,HEALTHY,Others,Working
149,HEALTHY,Others,Working
150,HEALTHY,Others,Working
151,HEALTHY,Others,Working
152,HEALTHY,Others,Working
153,COVID19,Others,Working
154,HEALTHY,Others,Working
155,COVID19,Others,Working
156,HEALTHY,Others,Working
157,HEALTHY,Others,Working
158,HEALTHY,Others,Working
159,COVID19,Others,Working
160,HEALTHY,Others,Working
161,COVID19,Others,Working
162,HEALTHY,Cleaning_Staff,Working
163,HEALTHY,Others,Working
164,HEALTHY,Others,Working
165,HEALTHY,Others,Working
166,HEALTHY,Others,Working
167,HEALTHY,Others,Working
168,HEALTHY,Others,Working
169,HEALTHY,Others,Working
170,HEALTHY,Others,Working
171,COVID19,Others,Working
172,HEALTHY,Others,Working
173,HEALTHY,Others,Working
174,HEALTHY,Others,Working
175,HEALTHY,Others,Working
176,HEALTHY,Others,Working
177,HEALTHY,Others,Working
178,HEALTHY,Others,Working
179,HEALTHY,Others,Working
180,HEALTHY,Cleaning_Staff,Working
181,HEALTHY,Others,Working
182,HEALTHY,Others,Working
183,COVID19,Others,Working
184,HEALTHY,Others,Working
185,HEALTHY,Others,Working
186,COVID19,Others,Working
187,HEALTHY,Others,Working
188,HEALTHY,Others,Working
189,HEALTHY,Others,Working
190,HEALTHY,Others,Working
191,HEALTHY,Others,Working
192,HEALTHY,Others,Working
193,HEALTHY,Others,Working
194,COVID19,Others,Working
195,HEALTHY,Others,Working
196,COVID19,Others,Working
197,HEALTHY,Others,Working
198,HEALTHY,Others,Working
199,HEALTHY,Others,Working
200,HEALTHY,Others,Working
201,COVID19,Cleaning_Staff,Working
202,COVID19,Others,Working
203,HEALTHY,Cleaning_Staff,Working
204,COVID19,Cleaning_Staff,Working
205,HEALTHY,Others,Working
206,COVID19,Others,Working
207,HEALTHY,Others,Working
208,COVID19,Others,Working
209,COVID19,Others,Working
210,HEALTHY,Others,Working
211,HEALTHY,Others,Working
212,HEALTHY,Others,Working
213,HEALTHY,Others,Working
214,HEALTHY,Others,Working
215,COVID19,Others,Working
216,COVID19,Others,Working
217,COVID19,Cleaning_Staff,Working
218,HEALTHY,Cleaning_Staff,Working
219,HEALTHY,Cleaning_Staff,Working
220,COVID19,Others,Working
221,HEALTHY,Others,Working
222,HEALTHY,Others,Working
223,COVID19,Others,Working
224,HEALTHY,Others,Working
225,COVID19,Others,Working
226,HEALTHY,Others,Working
227,HEALTHY,Others,Working
228,COVID19,Others,Working
229,HEALTHY,Others,Working
230,HEALTHY,Others,Working
231,HEALTHY,Others,Working
232,HEALTHY,Others,Working
233,HEALTHY,Others,Working
234,HEALTHY,Others,Working
235,HEALTHY,Others,Working
236,HEALTHY,Others,Working
237,HEALTHY,Others,Working
238,HEALTHY,Others,Working
239,HEALTHY,Cleaning_Staff,Working
240,HEALTHY,Others,Working
241,HEALTHY,Others,Working
242,HEALTHY,Others,Working
243,HEALTHY,Others,Working
244,HEALTHY,Others,Working
245,HEALTHY,Others,Working
246,COVID19,Others,Working
247,HEALTHY,Others,Working
248,HEALTHY,Others,Working
249,COVID19,Others,Working
250,COVID19,Others,Working
251,HEALTHY,Others,Working
252,HEALTHY,Cleaning_Staff,Working
253,HEALTHY,Others,Working
254,HEALTHY,Others,Working
255,HEALTHY,Others,Working
256,HEALTHY,Others,Working
257,HEALTHY,Others,Working
258,HEALTHY,Others,Working
259,HEALTHY,Others,Working
260,COVID19,Others,Working
261,HEALTHY,Others,Working
262,HEALTHY,Others,Working
263,COVID19,Others,Working
264,HEALTHY,Others,Working
265,HEALTHY,Others,Working
266,HEALTHY,Others,Working
267,COVID19,Others,Working
268,HEALTHY,Others,Working
269,HEALTHY,Others,Working
270,COVID19,Others,Working
271,HEALTHY,Others,Working
272,HEALTHY,Others,Working
273,HEALTHY,Others,Working
274,HEALTHY,Others,Working
275,HEALTHY,Others,Working
276,HEALTHY,Others,Working
277,COVID19,Others,Working
278,HEALTHY,Others,Working
279,HEALTHY,Others,Working
280,HEALTHY,Others,Working
281,HEALTHY,Others,Working
282,HEALTHY,Others,Working
283,HEALTHY,Others,Working
284,HEALTHY,Others,Working
285,HEALTHY,Others,Working
286,HEALTHY,Others,Working
287,HEALTHY,Others,Working
288,COVID19,Others,Working
289,HEALTHY,Cleaning_Staff,Working
290,HEALTHY,Others,Working
291,HEALTHY,Others,Working
292,HEALTHY,Others,Working
293,HEALTHY,Others,Working
294,HEALTHY,Others,Working
295,HEALTHY,Others,Working
296,HEALTHY,Cleaning_Staff,Working
297,HEALTHY,Others,Working
298,COVID19,Others,Working
299,HEALTHY,Others,Working
300,HEALTHY,Others,Working
301,HEALTHY,Others,Working
302,HEALTHY,Cleaning_Staff,Working
303,COVID19,Others,Working
304,HEALTHY,Others,Working
305,HEALTHY,Others,Working
306,HEALTHY,Others,Working
307,HEALTHY,Others,Working
308,HEALTHY,Others,Working
309,HEALTHY,Others,Working
310,HEALTHY,Others,Working
311,HEALTHY,Others,Working
312,HEALTHY,Others,Working
313,HEALTHY,Cleaning_Staff,Working
314,HEALTHY,Others,Working
315,HEALTHY,Others,Working
316,HEALTHY,Others,Working
317,HEALTHY,Cleaning_Staff,Working
318,HEALTHY,Others,Working
319,HEALTHY,Others,Working
320,HEALTHY,Others,Working
321,HEALTHY,Others,Working
322,HEALTHY,Others,Working
323,HEALTHY,Others,Working
324,COVID19,Others,Working
325,HEALTHY,Others,Working
326,HEALTHY,Others,Working
327,HEALTHY,Others,Working
328,HEALTHY,Others,Working
329,HEALTHY,Others,Working
330,HEALTHY,Others,Working
331,COVID19,Others,Working
332,HEALTHY,Others,Working
333,HEALTHY,Others,Working
334,HEALTHY,Others,Working
335,HEALTHY,Others,Working
336,HEALTHY,Others,Working
337,HEALTHY,Cleaning_Staff,Working
338,HEALTHY,Others,Working
339,HEALTHY,Others,Working
340,COVID19,Others,Working
341,HEALTHY,Others,Working
342,HEALTHY,Others,Working
343,HEALTHY,Others,Working
344,HEALTHY,Others,Working
345,HEALTHY,Others,Working
346,HEALTHY,Others,Working
347,HEALTHY,Others,Working
348,HEALTHY,Others,Working
349,HEALTHY,Others,Working
350,HEALTHY,Others,Working
351,COVID19,Others,Working
352,COVID19,Others,Working
353,HEALTHY,Cleaning_Staff,Working
354,HEALTHY,Others,Working
355,HEALTHY,Others,Working
